Komentar,Label
"setelah tau pembuatan siomay pakai daging ikan sapu sapu, aku ga mau lagi beli nya",Negatif
enak bang makan ikan sapu,Positif
"Kolam ikan ternak kemasukan sapu2, 3 tahun kemudian ikan ternak hilang sisa ikan sapu2",Netral
Berarti klau kita makan ikan ini kita jadi kuat dong,Netral
ikan sapu sapu itu banyak proteinnya bagus buat dikonsumsi tiap hari,Positif
Dilihat dari bentuknya aja ngeri apa lgi untuk dimakan,Negatif
Ikan lainpun sebenarnya sama bahayanya jika hidup diperairan yang mengandung limbah,Negatif
Udh olh jdi tepung ikan aja untuk ternak,Netral
"Wait, ada tuh yg makan durinya aja di makan",Netral
"Kalo disini sapu sapu dengan ekstra logam berat,kalo sini sapu sapu ekstra logam berat",Negatif
Sama halnya dengan Kerang ijo aja bisa membawa bakteri,Netral
"enak memang ikan ini, aku makan hasul dapat di koam. kalaundi sungai kota mah ogah aku makan,enak memang ikan aku makan hasul di koam kalaundi sungai kota mah ogah aku makan",Positif
Makan aja yang penting rakyatnya tidak kelaparan,Netral
Tergantung habitat-nya,Netral
Ikan sapu-sapu bisa diolah menjadi makanan,Positif
Ikan sapu-sapu tu kek ikan lain,Netral
Mana ada enak kok gk ada masalah,Positif
"Ikan sapu2 memakan Limbah B3 yg mengandung mercury .. so hati2 makan ikan sapu2 Di Indonesia sangat beracun..!!,ikan sapu makan limbah b yg kandung mercury so hati makan ikan sapu indonesia sangat racun",Negatif
Salmon tinggal di got anda becanda kah,Netral
Ngeyel,Netral
"Sungai kami masih asri, ikan ini enak rasanya",Positif
tergantung sungai nya kalo bersih sih gpp,Netral
Apa krn itu dia dinamakan ikan sapu2,Netral
Bisa jd salah satu solusi pembuangan limbah dapur,Netral
Kalau sdh jadi daging dlm tubuh ikan timbal sdh otomatis hilang,Netral
Ikan peliharaan full kimia,Negatif
Ama Bang Kalo Di Sungai Amazon,Netral
Blm di temukan orang mati dan sakit parah akibat makan ikan sapu-sapu,Netral
Jual ke Amerika auto kaya,Positif
PERSAINGAN KETAT ANTARA LELE DAN SAPU2,Netral
konsumsi ikan sapu2 harus liat kondisi air sungainya yah,Netral
Ikan ini di daerah aliran sungai amazon malah jd kuliner khas,Positif
Sebenarnya boleh dimakan kalo dia tinggal di habitat yang bersih,Positif
Muntahh,Netral
Aku makan enak,Positif
Ya kalo makan sesekali buat obati rasa penasaran,Netral
Buntal yg ada racun jugak dmakan,Negatif
Bro ikan itu makan alga bukan kotoran,Negatif
Enak kaga keras iya,Positif
Baguslah sungai kami mah kayak air Milo,Positif
Walau ikan jenis lain masih banyak yg lebih aman,Positif
Predator alami ikan sapu2 adalah tukang siomay,Netral
Ikan sapu-sapu aman dikonsumsi asalkan berasal dari perairan yang bersih,Positif
"Bohong, ikan gak akan mengandung racun",Negatif
Aku makan ikan sapu sapu,Netral
makan sapu sapu di pasar sugai kotor,Negatif
Sekilas olahan daging ikan nya kayak tongkol ya,Positif
Dijadiin menu mbg kayaknya cocok nih makan beracun gratis,Negatif
Yang makan kaya ga pernah diajari,Positif
Brati bukan salah ikanya dong,Netral
